comment_text,comment_user,facebook_url,page_name,post_date
"""sin afectar las condiciones remunerativas"", pero si vulneraron las condiciones laborales seguras de esos dos jóvenes.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Si por mi fuera, nunca volverían a abrir. Se debe hacer una investigación profunda de las condiciones laborales y del estado de sus equipos en todas las sedes. Esto es un terrible caso de explotación y negligencia que no debe quedar impune.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
NuncaMasMcDonalds,https://www.facebook.com/hashtag/nuncamasmcdonalds?hc_location=ufi,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
"Tocar la mano de la persona que se está electrocutando para salvarla es morir junto a esa persona, lo mejor sería bajar la palanca general de energía, me imagino que ambos recibieron charlas de inducción en caso de accidentes.",not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Me acuerdo que cerraron toda la cadena de dominios pizza cuando encontraron una cucaracha en un local. En este caso ¿qué correspondería?,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Esos 2 días suenaaaaa muuuuuy conveniente no ? Acaso buscarán la forma de arreglar sus precarias condiciones laborales ??,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.173819762664531/2699829520063530/?type=3,McDonaldsPeru,2019-12-16
Cuando sale la promo de pokemon en la cajita feliz?,not defined,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
https://elpais.com/.../12/18/america/1576627016_774946.html,https://l.facebook.com/l.php?u=https%3A%2F%2Felpais.com%2Finternacional%2F2019%2F12%2F18%2Famerica%2F1576627016_774946.html&h=AT3ImdAtktivfli-GKSI-wNbJTqgptI8cl476Y3c2St33y-L3zqKfubZ_FVNqUjKI-MeHljpngi_kZK6YNe7dfSrQuC0wQU3Saldf00CuHpiPDLG0m5pAEpZYLU1i-El1P2OtE4YlF2mGIij_2KQ5qYYKA,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
https://peru21.pe/.../mcdonalds-perito-de-la-divincri.../,https://l.facebook.com/l.php?u=https%3A%2F%2Fperu21.pe%2Flima%2Fmcdonalds-perito-de-la-divincri-asegura-que-maquina-que-causo-la-muerte-a-dos-trabajadores-de-mcdonalds-era-una-bomba-de-tiempo-noticia%2F&h=AT3bEBIv8dSBkr5c_Dmt7nytLkYhOCsNtD1W6Chz0G5IdAxSUmskKU2LWPheaf7SjTPLyPQZqBRbBIJKzPm8M4dGOw_A1gBdYQFbliKSizMYJa80-3EpeJ0te6-K6MjMbLINdvYpNqjzuo8CG7iCbsR3iQ,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
E X P L O T A D O R E S,/quihuaparca,https://www.facebook.com/McDonaldsPeru/photos/a.342017715844734/2768756086504206/?type=3,McDonaldsPeru,2020-01-16
